zip,zip_type,primary_city,county,timezone,area_codes,latitude,longitude,world_region,country,decommissioned,estimated_population,City,CriteriaID,State,StateAbrv,DMARegion,DMARegionCode
01103,STANDARD,Springfield,HampdenCounty,America/New_York,413,42.11,-72.53,NA,US,0,1533,Springfield,1018421,Massachusetts,MA,"Springfield-Holyoke, MA",543
01104,STANDARD,Springfield,HampdenCounty,America/New_York,413,42.11,-72.53,NA,US,0,15795,Springfield,1018421,Massachusetts,MA,"Springfield-Holyoke, MA",543
01105,STANDARD,Springfield,HampdenCounty,America/New_York,413,42.11,-72.53,NA,US,0,6054,Springfield,1018421,Massachusetts,MA,"Springfield-Holyoke, MA",543
01106,STANDARD,Longmeadow,HampdenCounty,America/New_York,413,42.04,-72.57,NA,US,0,14332,Longmeadow,1018275,Massachusetts,MA,"Springfield-Holyoke, MA",543
01107,STANDARD,Springfield,HampdenCounty,America/New_York,"860,413",42.11,-72.53,NA,US,0,6360,Springfield,1018421,Massachusetts,MA,"Springfield-Holyoke, MA",543
01108,STANDARD,Springfield,HampdenCounty,America/New_York,413,42.11,-72.53,NA,US,0,17151,Springfield,1018421,Massachusetts,MA,"Springfield-Holyoke, MA",543
01109,STANDARD,Springfield,HampdenCounty,America/New_York,413,42.11,-72.53,NA,US,0,17988,Springfield,1018421,Massachusetts,MA,"Springfield-Holyoke, MA",543
01111,UNIQUE,Springfield,HampdenCounty,America/New_York,413,42.11,-72.53,NA,US,0,0,Springfield,1018421,Massachusetts,MA,"Springfield-Holyoke, MA",543
01115,POBOX,Springfield,HampdenCounty,America/New_York,413,42.11,-72.53,NA,US,0,0,Springfield,1018421,Massachusetts,MA,"Springfield-Holyoke, MA",543
01116,POBOX,Longmeadow,HampdenCounty,America/New_York,413,42.04,-72.57,NA,US,0,0,Longmeadow,1018275,Massachusetts,MA,"Springfield-Holyoke, MA",543
01118,STANDARD,Springfield,HampdenCounty,America/New_York,413,42.11,-72.53,NA,US,0,11858,Springfield,1018421,Massachusetts,MA,"Springfield-Holyoke, MA",543
01119,STANDARD,Springfield,HampdenCounty,America/New_York,413,42.11,-72.53,NA,US,0,9915,Springfield,1018421,Massachusetts,MA,"Springfield-Holyoke, MA",543
01128,STANDARD,Springfield,HampdenCounty,America/New_York,413,42.11,-72.53,NA,US,0,2510,Springfield,1018421,Massachusetts,MA,"Springfield-Holyoke, MA",543
01129,STANDARD,Springfield,HampdenCounty,America/New_York,413,42.11,-72.53,NA,US,0,5884,Springfield,1018421,Massachusetts,MA,"Springfield-Holyoke, MA",543
01133,UNIQUE,Springfield,HampdenCounty,America/New_York,413,42.1,-72.59,NA,US,1,0,Springfield,1018421,Massachusetts,MA,"Springfield-Holyoke, MA",543
